	Particle centroid in image (mm)			Lengths (mm)											
Particle #	X	Y 	Z	principal_x	principal_y	principal_z	principal_l1	principal_l2	principal_l3	principal_m1	principal_m2	principal_m3	principal_n1	principal_n2	principal_n3
48	601.95	456.11	182.81	165.48	140.42	107.05	0.2	-0.11	0.97	-0.62	0.75	0.21	0.76	0.65	-0.08
49	324.55	327.69	123.01	70.19	56.44	42.58	0.75	-0.52	0.4	-0.09	0.52	0.85	0.65	0.68	-0.35
50	99.66	363.97	130.1	118	79.93	46.97	0.39	0.86	-0.31	0.76	-0.5	-0.41	0.51	0.07	0.86
51	395	485.15	146.36	120.85	87.53	86.09	0.89	-0.18	-0.42	0.01	0.93	-0.36	0.45	0.31	0.83
52	405.98	581.21	195.49	212.23	168.15	129.36	0.75	-0.3	-0.59	0.39	-0.51	0.76	0.53	0.8	0.27
53	322.28	261.94	120.9	37.09	37.07	22.83	0.94	0.14	0.31	-0.34	0.42	0.84	0.02	0.89	-0.45
54	145.37	446.11	159.29	143.79	111.16	83.88	0.35	0.94	0	0.81	-0.3	-0.51	0.48	-0.18	0.86
55	367.26	365.22	149.66	90.13	77.42	44.57	0.8	0.26	0.54	0.15	0.78	-0.61	-0.58	0.57	0.58
56	262.38	398.23	158.96	101.35	95.41	47.19	0.96	0.16	0.22	-0.17	-0.3	0.94	-0.22	0.94	0.26
57	198.13	153.21	159.4	114.69	101.82	70.12	-0.33	0.89	-0.31	-0.03	0.32	0.95	0.94	0.32	-0.08
58	345.5	431.81	208.28	173.43	133.16	124.12	-0.31	0.4	0.86	0.95	0.2	0.25	-0.07	0.9	-0.44
59	549.78	160.3	182.04	145.4	96.27	79.63	0.44	0.41	0.8	0.85	0.09	-0.52	-0.29	0.91	-0.31
60	529.04	524.39	179.62	145	116.41	59.63	0.7	0.28	0.66	-0.21	0.96	-0.19	-0.69	0	0.73
61	244.2	464.15	179.5	162.57	101.47	83.33	0.44	-0.48	0.75	0.79	0.61	-0.07	-0.43	0.62	0.65
62	423.09	365.56	178.13	96.14	79	59.1	0.04	0.93	-0.36	-0.63	0.3	0.71	0.77	0.19	0.61
63	532.91	269.75	176.89	80.79	67.49	55.88	0.06	-0.25	0.97	0.96	0.27	0.01	-0.26	0.93	0.25
64	587.31	339.16	180.94	157.03	115.65	68.89	0.74	0.49	0.46	-0.61	0.78	0.16	-0.28	-0.4	0.88
65	281.56	92.94	182.91	101.82	53.94	43.65	0.71	0.2	-0.67	-0.01	0.96	0.28	0.7	-0.19	0.68
66	588.58	252.82	174.79	90.38	53.94	47.05	-0.1	0.9	0.42	0.08	-0.41	0.91	0.99	0.13	-0.03
67	96.64	339.75	171.06	82.2	74.44	44.2	0.47	0.88	0.05	0.79	-0.39	-0.48	0.41	-0.26	0.88
68	348.82	175.91	199.61	116.42	85.17	44.7	-0.7	-0.08	0.71	0.67	0.27	0.69	-0.25	0.96	-0.13
69	469.69	137.25	214.74	139.45	110.08	96.56	-0.28	0.7	-0.66	0.64	0.65	0.41	0.71	-0.31	-0.63
70	265.11	174.11	187.23	87.72	62.59	43.89	0.83	-0.18	0.53	-0.02	0.93	0.36	-0.55	-0.31	0.77
71	541.79	222.92	197.47	102.51	89.96	71.23	-0.6	0.3	0.74	0.75	-0.11	0.65	0.28	0.95	-0.16
72	462.35	256.34	174.4	61.86	35.23	28.75	-0.09	0.97	0.21	0.57	-0.12	0.81	0.82	0.19	-0.54
73	621.18	274.97	203.63	107.58	83.05	69.63	0.87	0.17	-0.47	0.08	0.88	0.48	0.49	-0.45	0.75
74	447.87	207.59	183.29	59.54	30.63	26.67	-0.45	-0.38	0.81	-0.62	0.79	0.02	0.65	0.49	0.59
75	540.64	113.93	191.23	60	34.83	28.51	-0.28	0.18	0.94	0.96	0.06	0.27	-0.01	0.98	-0.19
76	323.4	69.86	200.04	84.61	65.19	54.12	-0.48	0.22	0.85	0.61	0.78	0.15	0.63	-0.59	0.51
77	153.41	172.43	215.23	100.52	61.24	56.37	-0.02	-0.32	0.95	0.95	0.28	0.11	-0.3	0.91	0.3
78	232.43	543.45	232.41	224.16	132.91	116.71	0.87	0.5	-0.05	-0.16	0.37	0.92	-0.47	0.79	-0.4
79	326.04	357.23	189.04	69.88	51.84	23.1	0.94	-0.26	-0.24	0.08	0.81	-0.58	0.34	0.53	0.78
80	224.16	156.13	235.86	163.83	109.11	93.45	0	0.82	0.58	0.97	0.13	-0.2	0.24	-0.56	0.79
81	375.22	312.86	210.22	83.97	66.39	50.54	0.31	0.73	-0.61	0.94	-0.15	0.31	-0.14	0.67	0.73
82	477.01	485.45	231.75	196.74	122.04	101.21	0.93	0.14	0.34	-0.24	-0.49	0.84	-0.29	0.86	0.42
83	464.65	212.85	234.82	106.03	67.15	56.85	-0.16	0.07	0.98	0.98	0.07	0.16	-0.06	1	-0.08
84	447.89	409.26	208.36	73.33	73.13	44.58	0.56	0.09	0.83	-0.42	0.89	0.18	0.72	0.45	-0.53
85	407.64	204.33	211.15	80.12	53.97	46.29	0.37	-0.64	0.68	0.71	-0.27	-0.65	0.59	0.72	0.36
86	442.15	229.55	187.81	31.13	21.26	18.02	0.53	0.77	-0.36	-0.04	0.45	0.89	0.85	-0.46	0.26
87	185.46	359.39	282.89	309	247.57	153.45	0.73	-0.42	0.54	0.47	0.88	0.05	-0.5	0.22	0.84
88	502.34	301.1	239.17	147.55	131.21	113.31	-0.15	0.94	-0.3	0.99	0.12	-0.1	0.05	0.31	0.95
89	527.42	415.86	226.69	151.94	105.98	97.97	0.74	-0.1	0.67	-0.49	0.59	0.64	0.46	0.8	-0.39
90	513.28	101.08	203.13	56.36	47.3	29.23	0.69	-0.16	0.7	0.41	0.89	-0.21	-0.59	0.44	0.68
91	443.9	291.05	206.26	56.85	57.05	35.64	-0.01	0.87	0.5	0.71	0.36	-0.61	0.71	-0.34	0.62
92	412.02	168.62	206.8	39.53	32.96	22.57	-0.45	0.02	0.89	0.75	0.55	0.36	-0.48	0.83	-0.27
93	353.91	248.6	224.19	122.32	83.03	35.26	-0.57	0.82	0.03	0.47	0.3	0.83	0.67	0.48	-0.56
94	449.79	249.65	219.23	82.09	62.84	39.55	-0.09	0.7	0.71	0.45	0.67	-0.6	0.89	-0.26	0.37
95	623.68	226.7	220.17	72.03	50.89	23.37	0.14	-0.38	0.92	0.9	0.43	0.04	-0.4	0.82	0.4
96	254.42	389.64	218.03	94.42	73.25	48.61	-0.66	0.75	-0.11	0.71	0.66	0.24	-0.25	-0.07	0.97
97	164.94	218.96	247.31	117.09	104.89	76.04	0.94	0.31	0.17	-0.04	-0.38	0.92	-0.35	0.87	0.35
98	557.82	342.29	220.42	58.61	50.58	35.09	-0.46	0.84	-0.28	0.54	0.51	0.67	0.71	0.16	-0.69
99	648.35	322.12	236.05	63.74	55.37	38.65	0.41	0.64	0.65	-0.08	-0.69	0.72	0.91	-0.34	-0.23
100	588.56	399.13	236.91	74.76	61.2	36.18	0.42	0.45	0.79	0.46	0.64	-0.61	0.78	-0.62	-0.07
101	303.66	349.61	234.53	88.84	62.72	49.71	0.74	-0.36	-0.57	0.67	0.4	0.63	-0.01	0.84	-0.54
102	281.45	121.13	260.4	141.14	102.52	61.5	0.14	0.9	0.41	-0.59	-0.26	0.76	0.79	-0.35	0.5
103	434.37	190.51	229.64	48.2	28.99	19.03	-0.3	0.03	0.95	0	1	-0.03	0.95	0.01	0.3
104	663.6	309.96	215.79	19.13	16.7	12.1	0.34	0.72	-0.61	-0.54	0.68	0.5	0.77	0.16	0.62
105	418.35	362.08	256.11	168.81	107.22	83.46	-0.17	0.95	0.27	0.11	-0.25	0.96	0.98	0.19	-0.06
106	636.43	209.37	214.69	16.99	11.01	5.28	0.24	0.58	0.78	0.32	0.72	-0.62	0.92	-0.39	0.01
107	351.72	354.73	249.85	106.68	90.56	34.93	0.52	0.85	-0.1	-0.36	0.32	0.88	0.77	-0.42	0.47
108	310.39	245.43	295.6	197.07	158.16	147.53	0.87	-0.27	0.41	0.48	0.66	-0.58	-0.11	0.7	0.71
109	587.3	339.43	238.71	90.71	63	30.04	-0.4	0.79	0.47	0.84	0.52	-0.16	0.37	-0.33	0.87
110	545.7	159.32	254.6	127	53.64	30	0.6	-0.51	0.62	0.8	0.42	-0.42	-0.05	0.75	0.66
111	117	177	215	5	3	3	0	0	1	0	1	0	1	0	0
112	321.71	516.03	265.7	110.41	76.23	56.77	-0.17	-0.07	0.98	0.62	0.77	0.16	0.77	-0.63	0.08
113	399.65	119.23	246.87	131.68	82.16	57.65	-0.27	0.96	-0.09	0.95	0.25	-0.18	0.15	0.14	0.98
114	326.29	95.23	275.82	136.8	86.96	63.01	0.41	0.72	-0.55	-0.22	0.67	0.71	0.88	-0.17	0.43
115	593.04	206.29	274.95	107.34	72.19	74.99	0.26	0.32	0.91	-0.64	0.76	-0.09	0.72	0.56	-0.41
116	640.9	377.72	258.79	111.86	67.77	55.44	-0.19	0.84	-0.51	0.96	0.05	-0.27	0.2	0.54	0.81
117	608.27	288.77	270.45	107.23	98.74	74.3	0.57	0.79	-0.22	0.8	-0.6	-0.08	0.2	0.13	0.97
118	667.79	375.04	230.7	9.77	7.07	6.11	-0.48	0.86	-0.19	0.33	0.37	0.87	0.81	0.35	-0.46
119	665.91	375.18	232.12	8.99	6.06	4.78	-0.37	0.87	-0.32	0.78	0.48	0.4	-0.5	0.1	0.86
120	631.58	243.03	254.16	62.1	47.33	35.31	0.93	0.19	0.32	-0.16	-0.56	0.81	-0.34	0.81	0.48
121	370.43	338.47	244.84	29.63	24.43	22.46	0.62	0.76	-0.2	0.22	0.08	0.97	0.76	-0.64	-0.11
122	529.65	206	274.1	112.44	76.25	67.28	0.27	0.91	0.32	-0.53	-0.14	0.84	0.8	-0.4	0.44
123	312.63	189.73	242.08	17.63	8.08	6.12	-0.13	-0.56	0.82	0.64	0.58	0.5	0.76	-0.59	-0.28
124	307.24	191.92	244.6	22.48	15.53	7.6	-0.49	-0.37	0.79	0.87	-0.3	0.4	0.08	0.88	0.47
125	467.26	421.25	287.41	114.03	65.96	52.72	-0.4	-0.1	0.91	0.91	-0.11	0.39	0.06	0.99	0.14
126	390.98	306.87	297.81	187.42	124.53	76.42	-0.47	0.83	0.31	0.54	0	0.84	0.69	0.56	-0.45
127	309.03	186.38	249.97	7.33	3.83	4.3	0.67	0.33	-0.67	0.71	-6.66E-016	0.71	-0.23	0.94	0.23
128	355.77	158.18	289.5	107.13	58.89	51.87	-0.16	-0.64	0.75	0.22	0.72	0.66	0.96	-0.27	-0.02
129	413.92	174.68	270.72	77.66	68.04	38.65	0.94	-0.33	-0.01	0.3	0.86	-0.41	0.15	0.38	0.91
130	605.5	467	280.98	107.15	104.16	47.64	0.96	-0.04	-0.26	-0.05	0.94	-0.34	0.26	0.34	0.9
131	547.42	125.24	268.03	47.92	40.06	27.8	0.1	-0.52	0.85	0.98	-0.11	-0.18	0.19	0.85	0.5
132	596.35	265.07	255.48	18.01	16.52	13.84	0.92	-0.12	-0.38	-0.14	0.8	-0.59	0.37	0.59	0.72
133	517.18	130.28	269.51	47	31.76	23.13	-0.25	0.7	0.67	0.56	0.66	-0.49	0.79	-0.25	0.56
134	371.46	525.46	292.42	94.73	75.24	66.81	0.67	-0.51	-0.55	0.17	-0.61	0.77	0.72	0.61	0.32
135	566.79	322.98	269.35	40.58	42.23	29.12	0.38	0.92	0.05	0.68	-0.32	0.66	-0.62	0.22	0.75
136	663.61	292.46	257.56	10.39	6.93	5.28	-0.14	0.78	0.6	-0.08	-0.62	0.78	0.99	0.06	0.15
137	661.07	291.59	259.56	11.21	6.33	5.09	-0.18	0.92	0.33	-0.43	-0.38	0.82	0.88	0.01	0.47
138	506.64	107.43	285.7	67.2	42.07	45.64	0.87	-0.26	-0.43	0.33	-0.33	0.88	0.37	0.91	0.2
139	339.13	414.98	291.5	96.88	63.76	53.43	0.76	-0.63	-0.16	0.26	0.07	0.96	0.6	0.77	-0.22
140	312.2	343.33	281.55	65.42	44.99	35.82	-0.12	0.89	0.45	0.64	-0.28	0.72	0.76	0.37	-0.53
141	630.58	222.34	266.62	14.55	11.67	7.5	-0.47	-0.11	0.88	0.82	-0.42	0.39	0.33	0.9	0.29
142	587.06	379.35	287.97	82.82	54.22	50.35	-0.3	0.93	0.21	0.81	0.37	-0.46	0.5	-0.04	0.86
143	526.27	331.52	313.52	143.27	117.57	95	-0.29	0.78	-0.56	0.96	0.22	-0.18	0.02	0.59	0.81
144	626.79	220.71	270.61	8.47	4.81	4.44	-0.02	-0.18	0.98	0.94	-0.33	-0.04	0.33	0.93	0.18
145	405.43	455.44	313.59	96.85	74.82	47.5	-0.32	-0.27	0.91	0.76	-0.65	0.08	0.57	0.71	0.41
146	550.72	239.72	270.51	9	7.58	6.88	0.64	-0.56	0.53	0.1	0.74	0.66	0.77	0.37	-0.53
147	419.24	219.63	286.49	39.31	31.84	24.27	-0.31	0.78	0.55	0.28	-0.47	0.83	0.91	0.42	-0.07
148	527.97	145.03	313.54	120.88	75.19	74.2	-0.23	0.96	-0.15	-0.31	0.08	0.95	0.92	0.27	0.28
149	359.9	69.21	321.18	84.18	61.11	36.07	-0.37	0.17	0.91	-0.2	0.94	-0.26	0.91	0.28	0.32
150	491.85	83.96	313.92	72.26	46.73	26.53	0.52	0.27	0.81	0.57	0.6	-0.56	-0.64	0.75	0.16
151	639.71	281.85	325.68	104.33	90.46	48.91	0.4	0.91	-0.08	0.13	0.03	0.99	0.91	-0.41	-0.1
152	574.84	439.46	328.53	147.55	116.88	91.82	0.92	0.38	0.13	-0.3	0.87	-0.4	-0.27	0.33	0.91
153	636.89	226.28	305.11	50.84	40.24	20.07	0.29	0.65	0.71	0.11	0.71	-0.69	0.95	-0.27	-0.13
154	393.69	182	302.31	41.85	34.67	30.28	0.08	1	0	0.89	-0.08	-0.45	0.44	-0.03	0.9
155	651.13	253.02	301.35	27.31	21.31	17.1	0.02	0.43	0.9	0.47	0.79	-0.39	0.88	-0.43	0.19
156	192.7	193.54	325.17	93.17	71.35	46.27	0.71	0.48	0.51	-0.64	0.14	0.76	-0.3	0.86	-0.41
157	343.04	593.47	326.74	130.74	107.51	67.69	0.94	0.27	0.22	-0.26	0.96	-0.09	-0.24	0.03	0.97
158	576.39	158.6	308.91	66.18	46.18	24.53	0.69	0.51	-0.52	-0.6	0.8	-0.01	0.41	0.31	0.86
159	524.57	258.24	314.96	43.12	32.93	30.6	-0.31	-0.28	0.91	-0.35	0.92	0.17	0.88	0.27	0.39
160	457.83	293.93	332.07	88.87	57.08	55.8	-0.43	0.28	0.86	0.9	0.16	0.4	-0.03	0.95	-0.32
161	628.95	361.26	331.91	98.38	84.28	64.49	0.7	0.65	0.3	-0.3	-0.11	0.95	-0.65	0.75	-0.11
